ma,ngay_ban_hanh,hieu_luc,bi_sua_doi_boi,bi_thay_the_boi,du_thao_thay_the,ghi_chu
Luật 15/2012,20/6/2012,01/7/2013,Luật 67/2020; Luật 88/2025 (01/7/2025),,,"Luật XLVPHC; bản hợp nhất 63/VBHN-VPQH 2025; Luật 88 bãi bỏ Đ38–49, 51 — thẩm quyền theo NĐ 189/2025"
Luật 88/2025,25/6/2025,01/7/2025,,,,Sửa Luật XLVPHC; bản gốc xp-sct-vn/van-ban-goc/chung; đối chiếu ref 10
Luật 42/2024,,01/01/2025,Luật 118/2025 (01/7/2026),,,Luật Quản lý sử dụng vũ khí VLNCN CCHT; VBHN 78/VBHN-VPQH; uỷ quyền cấp GP sử dụng VLNCN cho Sở: QĐ 2867/QĐ-UBND từ 20/8/2026
Luật 118/2025,,01/7/2026,,,,Sửa Luật 42/2024 — k5 Đ44 nơi nộp GCN sản xuất TCTN (trích luật)
Luật 84/2025,,01/7/2025,,,,Luật Thanh tra — bỏ Thanh tra Sở; chức danh Chánh TT Sở trong nghị định cũ → GĐ Sở (k2 Đ53 Luật XLVPHC sđ 88/2025; k2 Đ21 NĐ 189)
Luật 135/2025,,01/7/2026,,,,Luật Xây dựng mới — xd-sct-vn
Luật 54/2024,,01/7/2025,Luật 147/2025,,,Luật Địa chất và Khoáng sản
NĐ 118/2021,23/12/2021,01/01/2022,NĐ 68/2025; NĐ 190/2025,,,Chi tiết Luật XLVPHC; bản gốc + 72 biểu mẫu tại xp-sct-vn/van-ban-goc/chung — CHƯA hợp nhất 68/190 (chưa có bản gốc 2 NĐ này)
NĐ 189/2025,01/7/2025,01/7/2025,NĐ 311/2026 (hiệu lực 26/9/2026),,,Thẩm quyền xử phạt các chức danh sau sắp xếp; k2 Đ6 GĐ Sở 80% trần; k2 Đ21 chuyển đổi chức danh
NĐ 311/2026,06/8/2026,26/9/2026,,,,Sửa NĐ 189/2025
NĐ 217/2025,05/8/2025,,,,,Kiểm tra chuyên ngành; TT 56/2025/TT-BCT hướng dẫn
NĐ 71/2019,,,NĐ 17/2022 (Điều 1),NĐ 275/2026 (25/8/2026),,"Xử phạt hóa chất, VLNCN — đã thay thế; chỉ dẫn cho hành vi trước 25/8/2026"
NĐ 275/2026,,25/8/2026,,,,"Xử phạt hóa chất, VLNCN, tiền chất — thay NĐ 71/2019; Đ63 có Giám đốc Sở CT"
NĐ 36/2020,24/3/2020,10/5/2020,NĐ 04/2022 (06/01/2022); NĐ 290/2025 (phần tài nguyên nước),,Dự thảo NĐ thay thế (3/2026),"Xử phạt tài nguyên nước, khoáng sản; Đ65 (bản 04/2022): thanh tra CT xử Đ36, 38, 39, 48, 55–62; lập BB theo QĐ 5116/QĐ-SCT"
NĐ 4/2022,06/01/2022,06/01/2022,,,,"Sửa NĐ 91/2019, NĐ 36/2020 — bản gốc xp-sct-vn/van-ban-goc/khoang-san"
NĐ 99/2020,26/8/2020,11/10/2020,NĐ 17/2022 (Điều 4),,,"Xử phạt dầu khí, xăng dầu, khí; k2 Đ62 Chánh TT Sở CT đích danh; k7 Đ63"
NĐ 98/2020,26/8/2020,15/10/2020,NĐ 17/2022 (Điều 3); NĐ 24/2025,,,"Xử phạt thương mại, hàng giả, hàng cấm, bảo vệ NTD — QLTT xử; QLCN không lập BB (k2 Đ80)"
NĐ 17/2022,31/01/2022,31/01/2022,,,,"Sửa NĐ 71/2019, 134/2013, 98/2020, 99/2020 — bản gốc xp-sct-vn/van-ban-goc/chung"
NĐ 24/2025,,,,,,"Sửa NĐ 98/2020 (Đ78, 81–88 biện pháp khắc phục)"
